name,industry,exchange,home_city,home_country,employees,ceo,cfo,rating,supplier1,supplier2,supplier3,supplier4,supplier5,supplier6,supplier7,supplier8,supplier9,supplier10,customer1,customer2,customer3,customer4,customer5,customer6,customer7,customer8,customer9,customer10,bm1,bm2,bm3,bm4,bm5,bm6,bm7,bm8,bm9,bm10
stmicroelectronics nv,semiconductors,enxtpa,geneva,switzerland,51370,chery jean-marc,grandi lorenzo,60.0,arm holdings plc,atomera incorporated,be semiconductor industries n.v.,cassa depositi e prestiti s.p.a.,ceva inc.,eiffage sa,european investment bank,greenyellow vente d energie s.a.s.u,intest corporation,mk electron co. ltd.,apple inc.,blues inc.,bosch corporation,continental aktiengesellschaft,delta electronics inc.,focus universal inc.,hp inc.,huawei investment & holding co. ltd.,mobileye global inc.,mobileye n.v.,,board member,dufourcq nicolas ,tamagnini maurizio ,davidson janet g.,pro gonzalo ana maría de,sanchez frederic ,delabriere yann ,vletter-van dort hélène maria,visca paolo 
diploma plc,trading companies and distributors,lse,london,united kingdom,3000,thomson jonathan,davies chris,,computershare investor services plc,,,,,,,,,,,,,,,,,,,,,board member,lowden david soutar,thomson jonathan d.,davies chris ,smith andrew p.,thorburn anne ,huse geraldine claire,finch dean kendal,ward jennifer 
aedifica sa,health care reits,enxtbr,brussels,belgium,126,gielens stefaan,daerden ingrid,60.0,abn amro bank n.v.,argenta spaarbank nv,belfius bank sa,bnp paribas fortis sa,bnp paribas s.a. niederlassung deutschland,bnp paribas sa,caisse d'epargne hauts de france,cbre gmbh (germany),cushman & wakefield belgium,cushman & wakefield debenham tie leung limited,argentum holding projektfinanszirozo es hitelkozpont penzugyi szolgaltato zrt.,armonea nv,atv lemförde gmbh,autismisäätiö sr,azurit rohr gmbh,bondcare (london) ltd,bremdael vzw,care uk community partnerships ltd,compartijn b.v.,cosiq gmbh,,board member,wibaut serge roger philippe,gielens stefaan ,daerden ingrid ,thomassen raoul ,van aelst charles-antoine ,bogaerts sven andre,may-roberti elisabeth ,willekens marleen 
arcadis nv,research and consulting services,enxtam,amsterdam,netherlands,31552,brookes alan,duperat-vergne virginie j.,55.0,fugro n.v.,,,,,,,,,,akzo nobel n.v.,alcoa inc.,camden council,city of toronto,land transport authority of singapore,los angeles county metropolitan transportation authority,metropolitan transportation authority,prorail b.v.,scott parnell limited,sydney metro,,board member,lap michiel p.,putnam michael c.,goodwin deanna l. m.,mahieu carla m. c.,duganier barbara j.,,,
dino polska sa,food retail,wse,krotoszyn,poland,39427,,krauze michal,,bank millennium s.a.,bt kapital spolka z ograniczona odpowiedzialnoscia,ing bank slaski s.a.,krot invest 2 kr inzynieria sp z o o spolka komandytowa,krot invest kr inzynieria sp. z o.o. ska,krynica vitamin s.a.,mleczarnia naramowice sp. z o.o.,powszechna kasa oszczednosci bank polski spólka akcyjna,quantum qguar sp. z o.o.,tbe spolka z ograniczona odpowiedzialnoscia,bt kapital spolka z ograniczona odpowiedzialnoscia,kapital sp. z o.o.,kr inzynieria spolka z ograniczona odpowiedzialnoscia,krot invest 2 kr inzynieria sp z o o spolka komandytowa,krot invest kr inzynieria sp. z o.o. ska,mleczarnia naramowice sp. z o.o.,tbe spolka z ograniczona odpowiedzialnoscia,zaklady miesne biernacki tomasz biernacki,,,,board member,biernacki tomasz ,nowjalis piotr ,jakszuk slawomir ,bajer eryk ,polanowski maciej ,,,
a2a spa,multi-utilities,bit,brescia,italy,13841,mazzoncini renato,moroni luca,60.0,european investment bank,intesa sanpaolo s.p.a.,maps s.p.a.,terna s.p.a.,,,,,,,,,,,,,,,,,,board member,mazzoncini renato ,comboni giovanni ,zunino alessandro ,muzi silvia ,dorigoni susanna ,cariello vincenzo ,lavini fabio ,speranza grazia maria
mondi plc,paper products,lse,weybridge,united kingdom,21200,king andrew charles,powell michael,70.0,european investment bank,,,,,,,,,,les crudettes sas,,,,,,,,,,,board member,yea philip edward,king andrew charles wallis,powell michael andrew,reiniche dominique jacqueline nicole,young stephen g.,strank angela rosemary emily,brandtzaeg svein-richard ,clark susan 
verbund ag,electric utilities,wbag,vienna,austria,3696,strugl michael,kollmann peter,75.0,afry ab,ennskraftwerke ag,kelag-kärntner elektrizitäts-aktiengesellschaft,österreichische bundesbahnen-holding aktiengesellschaft,,,,,,,bbg bundesbeschaffung gmbh,energie steiermark wärme gmbh,energji ashta shpk,kelag-kärntner elektrizitäts-aktiengesellschaft,kng-kärnten netz gmbh,oemag abwicklungsstelle für ökostrom ag,omv aktiengesellschaft,österreichische bundesbahnen-holding aktiengesellschaft,telekom austria ag,,,board member,ohneberg martin ,catasta christine ,hlawati edith ,praetorius barbara ,rummler eckhardt ,christof kurt ,liebscher wolfgang ,roth jürgen 
covestro ag,specialty chemicals,xtra,leverkusen,germany,17591,steilemann markus,baier christian,,bioamber inc.,dsm-firmenich ag,grupo antolin-irausa s.a.u.,o'neill & associates,sopheon plc,,,,,,bayer-pensionskasse vvag,covestro deutschland ag,lanxess aktiengesellschaft,origin laboratories inc.,rheinische pensionskasse versicherungsverein auf gegenseitigkeit,yung chi paint & varnish mfg.co.ltd,,,,,,board member,pott richard ,kronen petra ,kingo lise ,schneider sven ,thomas patrick w.,stachelhaus regine ,küstner irena helga,bortenlanger christine maria
atlantia spa,highways and railtracks,bit,milan,italy,22472,mangoni andrea,ceccarani tiziano,50.0,a'liénor sas,autogrill group inc.,autostrade per l'italia spa,autostrade per l'italia spa,banco bpm s.p.a.,biuro centrum sp. z o.o.,concessionária da rodovia mg-050 s.a.,essediesse società di servizi p.a.,icm s.p.a.,m 45 conservacion,a'liénor sas,aeroporto guglielmo marconi di bologna s.p.a.,areamed 2000 sa,atlantia bertin participações sa,autogrill côté france sas,autogrill group inc.,autostrade dell’atlantico srl,autostrade dell’atlantico srl,autostrade meridionali s.p.a.,autostrade per l'italia spa,,board member,massolo giampiero ,mangoni andrea ,benetton alessandro ,michelutti riccardo ,coco christian ,boffa ermanno ,dotto stefania ,kelly jonathan 
chocoladefabriken lindt & spruengli ag,packaged foods and meats,swx,kilchberg,switzerland,14000,lechner adalbert,hug martin,,id logistics group sa,nimbus ag,prologis inc.,simon property group inc.,,,,,,,lindt cocoa foundation,nongshim co. ltd.,,,,,,,,,,board member,tanner ernst ,sprüngli rudolf k.,rinderknecht thomas m.,weisskopf dieter ,bulgheroni antonio ,gürtler elisabeth ,denz silvio w.,
dsv a/s,air freight and logistics,cpse,hedehusene,denmark,74178,andersen jens,,70.0,aeroports de paris sa,catena ab (publ),corem kelly ab (publ),emoss mobile systems b.v.,fortress real estate investments limited,hyliion holdings corp.,prologis inc.,siamrajathanee public company limited,summit alliance port limited,,bhg group ab (publ),scatec asa,,,,,,,,,,board member,plenborg thomas stig,moller jorgen ,walti beat r.,leroy benedikte ,kristiansen helle ostergaard,aamund marie-louise ,smedegaard niels ,al-essa tarek abdulaziz sultan
clariant ag,specialty chemicals,swx,muttenz,switzerland,10690,keijzer conrad,collins bill,55.0,aarti industries limited,bundesministerium für bildung und forschung,heubach colorants india limited,,,,,,,,wanhua chemical group co. ltd.,,,,,,,,,,,board member,von au gunter ,al umar ahmed mohamed,saupper eveline maria,steiner peter ,mannhardt thilo ,winterstein konstantin ,wamsler susanne ,dyckerhoff claudia suessmuth
prosus nv,broadline retail,enxtam,amsterdam,netherlands,22634,tu ervin,sgourdos vasileios,60.0,banca de export import a româniei - eximbank sa,computershare investor services (proprietary) limited,fondo de inversion activa deuda automotriz,mih holdings limited,raiffeisen bank s.a.,,,,,,bom negócio atividades de internet ltda.,mih holdings limited,skillsoft corporation,,,,,,,,,board member,bekker jacobus petrus ,sgourdos vasileios ,pacak stephan joseph zbigniew,enenstein craig l.,meyer debra ,jafta rachel catharina cornelia,du toit hendrik jacobus,stofberg jacobus d. t.
spie sa,diversified support services,enxtpa,cergy-pontoise,france,48000,louette gauthier,vanhove jérôme,50.0,bnp paribas sa,,,,,,,,,,airbus s.a.s.,assala energy uk limited,axa,bnp paribas sa,bp p.l.c.,c.h. boehringer sohn ag & co. kg,chevron corporation,compagnie générale des établissements michelin société en commandite par actions,de vlaamse vervoermaatschappij - de lijn,electricité de france s.a.,,board member,louette gauthier ,stachelhaus regine ,téran sandrine ,jeantet patrick raymond marie,van klaveren-hessel gabrielle ,finet bertrand ,kessler michael ,nier jerome 
prysmian spa,electrical components and equipment,bit,milan,italy,30880,battista valerio,facchini pier francesco,55.0,a. & a. electrical distributors limited,cassa depositi e prestiti s.p.a.,colas sa,conducen srl,draka comteq france sas,draka comteq germany gmbh & co. kg,draka comteq uk ltd,draka kabely s.r.o.,european investment bank,fibre ottiche sud - f.o.s. s.p.a.,ailes marines s.a.s.,amprion gmbh,ariadne interconnection s.p.s.a.,comisión federal de electricidad,conducen srl,draka belgium nv,draka comteq berlin gmbh & co. kg,draka comteq fibre b.v.,draka comteq france sas,draka comteq germany gmbh & co. kg,,board member,de conto claudio ,battista valerio ,facchini pier francesco ,battaini massimo ,mariani maria letizia,amato paolo ,gori francesco ,sarubbi stefano 
vat group ag,industrial machinery and supplies and components,swx,sennwald,switzerland,2706,allison michael,chiozza fabian,50.0,,,,,,,,,,,,,,,,,,,,,,board member,komischke martin ,leinhauser urs ,zhang libo ,schlegel karl ,gerlinger hermann ,lippuner daniel ,heriz maria ,
associated british foods plc,packaged foods and meats,lse,london,united kingdom,132000,weston george,tonge eoin,75.0,delta galil industries ltd.,equiniti group limited,equiniti limited,grupa kety s.a.,netflix inc.,the walt disney company,warner bros. entertainment inc.,,,,c. w. mackie plc,doctor's associates inc.,fortnum & mason plc,george weston limited,gw pharmaceuticals limited,heal & son ltd,loblaw companies limited,pt diamond cold storage,wittington investments limited,yum! brands inc.,,board member,mclintock michael george alexander,weston george garfield,tonge eoin p.,reid richard ,rabbatts heather victoria,adamo emma ,hauser wolfhart gunnar,allan graham denis
salmar asa,packaged foods and meats,ob,kverva,norway,2063,arntsen frode,steinvik ulrik,,cargill aqua nutrition north sea,frøy asa,kverva as,skretting co. ltd.,wessel invest as,,,,,,gyda ehf.,kverva as,,,,,,,,,,board member,witzoe gustav magnar,hauge margrethe ,nordhammer leif inge,loktu morten ,holstad arnhild ,kindlihagen ingvild ,stolan hans ,
grafton group plc,trading companies and distributors,lse,dublin,ireland,8826,born eric,arnold david,,link registrars limited,londonmetric property plc,sterling financial holdings company plc,,,,,,,,,,,,,,,,,,,board member,roney michael j.,born eric ,arnold david l.,smith paul nigel hampden,murray susan e.,crowley vincent conor,mcguckian rosheen ,darzins avis joy
britvic plc,soft drinks and non-alcoholic beverages,lse,hemel hempstead,united kingdom,4346,litherland simon,napier rebecca,,ardagh group s.a.,ardagh metal packaging s.a.,computershare shareowner services llc,equiniti financial services limited,merit group plc,pepsico inc.,unilever plc prior to dual listing,,,,simonds farsons cisk plc,,,,,,,,,,,board member,durant ian charles,litherland simon ,napier rebecca ,clark susan ,finnan emer ,eccleshare christopher william,sutherland euan angus,lasry hounaida 
upm-kymmene oyj,paper products,hlse,helsinki,finland,17571,pesonen jussi,korpeinen tapio,65.0,afry ab,allete inc.,bayerngas gmbh,fev europe gmbh,lechwerke ag,pihlajalinna oyj,pohjolan voima oyj,raven property group limited,stora enso oyj,suzano s.a.,krahn chemie gmbh,,,,,,,,,,,board member,ehrnrooth henrik ,wahl kim ,a porta martin a.,kauppi piia-noora ,oudeman marjan ,fitzgerald emma ,gustafsson jari ,manner topi 
kbc groep nv,diversified banks,enxtbr,brussels,belgium,38591,thijs johan,popelier roger,70.0,,,,,,,,,,,aedifica nv/sa,care property invest nv,emakina group sa,forfarmers n.v.,kbc bank nv,kbc verzekeringen nv,kinepolis group nv,qrf comm. va,shelly group ad,,,board member,debackere koenraad ,thijs johan ,vlerick philippe ,popelier roger elie,van rijsseghem christine ,depickere franky cera,de ceuster marc ,roussis theodoros 
nexi spa,transaction and payment processing services,bit,milan,italy,10659,bertoluzzo paolo,,50.0,alipay (china) internet technology company limited,apple inc.,banca akros spa,banco bpm s.p.a.,depobank - banca depositaria italiana spa,idemia group s.a.s.,ingenico italia spa,intesa sanpaolo s.p.a.,mastercard incorporated,mediobanca banca di credito finanziario s.p.a.,amazon development center poland sp. z o.o.,danske bank a/s,intesa sanpaolo s.p.a.,jorf lasfar energy company 5&6 s.a.,matas a/s,mps capital services banca per le imprese s.p.a.,nets denmark a/s,nets holdco 1 aps,nordea bank abp,salling group a/s,,board member,castelli michaela ,bertoluzzo paolo ,soldi marinella ,corghi elisa ,bugna giacomo ,albanese ernesto ,bassi luca ,casiraghi francesco 
skandinaviska enskilda banken ab,diversified banks,om,stockholm,sweden,17428,torgeby johan,yazdi masih,80.0,fabege ab (publ),hiq international ab (publ),wallenstam ab (publ),,,,,,,,ab sagax (publ),afry ab,annehem fastigheter ab,annehem holding 3 ab,arcus asa,ardmore shipping corporation,bactiguard holding ab (publ),be group ab (publ),bergs timber ab (publ),bhg group ab (publ),,board member,wallenberg marcus ,torgeby johan ,nyman sven ,hansen signhild arnegård,saxon helena ,aarup-andersen jacob ,fok kin wah,lindholm charlotta 
logitech international sa,"technology hardware, storage and peripherals",swx,lausanne,switzerland,7400,gecht guy,boynton charles,,accel limited,dsp group inc.,synopex inc.,updater services limited,,,,,,,alphabet inc.,amazon.com inc.,apple inc.,asbisc enterprises plc,awanbiru technology berhad,ban leong technologies limited,com7 public company limited,counterpath corporation,dcc plc,dicker data limited,,board member,becker wendy ,gecht guy ,thomas deborah m.,ng kwok wang,bugnion edouard ,aebischer patrick ,montgomery neela ,lao marjorie 
evotec se,life sciences tools and services,xtra,hamburg,germany,5067,lanthaler werner,rouxel laetitia,,banco bpm s.p.a.,european investment bank,ikb deutsche industriebank ag,sanofi,,,,,,,abivax société anonyme,bristol-myers squibb company,bristol-myers squibb company,exscientia limited,exscientia plc,kazia therapeutics limited,merck & co. inc.,sanofi,sernova corp.,vifor pharma ltd.,,board member,low-friedrich iris ,sackers roland ,ulmer-eilfort constanze ,polywka mario ,sullivan elaine ,languille camilla macapili,,
burberry group plc,apparel accessories and luxury goods,lse,london,united kingdom,9201,akeroyd jonathan,ferry catherine,,derwent london plc,digital domain holdings limited,equiniti limited,hang lung group limited,hang lung properties limited,heiq plc,instagram llc,jcdecaux oneworld,jcdecaux se,js corporation,adore beauty pty ltd,apb apranga,coty inc.,dufry ag,myt netherlands parent b.v.,pt inti dufree promosindo,ssi group inc.,the realreal inc.,,,,board member,murphy gerard m.,akeroyd jonathan ,ferry catherine elizabeth,gray danuta m.,stewart alan james harris,ni-chionna orna gabrielle,arredondo fabiola r.,frasch ronald l.
epiroc ab,construction machinery and heavy transportation equipment,om,nacka,sweden,18056,hedblom helena,folin hakan,65.0,applied nano surfaces sweden ab,hanza ab (publ),hiq international ab (publ),kempower oyj,northvolt ab,oem international ab (publ),ssab ab (publ),,,,african rainbow minerals limited,anglo american plc,assmang proprietary limited,barrick gold corporation,bhp group limited,boliden ab (publ),canadian malartic corporation,dragados s.a.,eti bakir a.s.,first quantum minerals ltd.,,board member,leten ronnie ,hedblom helena ,litzen ulla ,forssell johan ,evrell lennart ,hull jeane lanelle,onsum astrid skarheim ,kanestad kristina 
